audit_id,priority_rank,priority_name,priority_note,manual_check_status,manual_final_label,manual_final_dimension,manual_decision,manual_note,comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,suggested_label,suggested_dimension,label_change_direction,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
3,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,memuaskan,muas,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,2 -> 0,1,Usefulness,False,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,4,Renita Ita,2026-04-26 01:34:28,0,Relevan dengan P1 (mudah digunakan),1,0.0,1.0,0.0,moderate,True,memuaskan,memuaskan muas,False,False,False,False,True
4,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,"tulung dibaca ya tulunggg....inj parah kenapa aplikasi JMO tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo JHT saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi JMO sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️",tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,2,Ease of Use,False,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",59,baik,"jht, saldo","buka, tidak bisa","force close, tidak bisa buka, tidak bisa dibuka",negative,-0.4588,2.62,1,Situr Z,2026-04-25 08:56:18,1,Tidak relevan dengan pertanyaan manapun,0,0.205,0.57,0.224,low,True,"tulung dibaca ya tulunggg....inj parah kenapa aplikasi jmo tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo jht saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi jmo sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️","tulung dibaca ya tulunggg....inj parah kenapa aplikasi jmo tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo jht saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi jmo sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️ tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka",True,True,True,True,True
7,5,P5 - Label 3 dimension check,Label gabungan perlu dicek apakah benar mengandung usefulness dan ease of use sekaligus.,,,,,,cepat mudah efisien lanjutkan,cepat mudah efisien lanjut,1,1,3,Usefulness + Ease of Use,2,Ease of Use,3 -> 2,3,Usefulness + Ease of Use,True,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",4,,,mudah,,positive,0.8934,6.68,5,Hosen Spaiderling,2026-04-25 07:10:26,0,Relevan dengan P1 dan P3,3,0.0,0.085,0.915,high,True,cepat mudah efisien lanjutkan,cepat mudah efisien lanjutkan cepat mudah efisien lanjut,False,False,True,False,True
8,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,"Saya tidak bisa tau No VA pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.",tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,2,Ease of Use,False,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",16,,,"daftar, tidak bisa",,negative,-0.5859,2.24,1,Septiawan Zaid,2026-04-25 04:17:00,0,Tidak relevan dengan pertanyaan manapun,0,0.402,0.488,0.11,low,True,"saya tidak bisa tau no va pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.","saya tidak bisa tau no va pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar. tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar",False,False,True,False,True
9,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,aplikasinya tidak bisa di akses. semoga ada manfaatnya,aplikasi tidak bisa akses moga manfaat,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",8,,manfaat,"akses, tidak bisa",aplikasi tidak bisa,positive,0.4767,5.43,5,Januarius Tani,2026-04-25 02:33:24,0,Tidak relevan dengan pertanyaan manapun,0,0.21,0.286,0.505,high,False,aplikasinya tidak bisa di akses. semoga ada manfaatnya,aplikasinya tidak bisa di akses. semoga ada manfaatnya aplikasi tidak bisa akses moga manfaat,False,True,True,True,True
11,3,P3 - Label 0 contains ease keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi ease of use atau masalah penggunaan.,,,,,,kok susah sekali ya ambil hak JHT yang sudah tidak aktif.. terkesan dipersulit,kok susah sekali ambil hak jht tidak aktif kes sulit,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",13,ok,jht,"sulit, susah",,negative,-0.7351,1.79,5,Ridho Alfarisyi,2026-04-25 02:15:54,0,Tidak relevan dengan pertanyaan manapun,0,0.505,0.26,0.234,low,False,kok susah sekali ya ambil hak jht yang sudah tidak aktif.. terkesan dipersulit,kok susah sekali ya ambil hak jht yang sudah tidak aktif.. terkesan dipersulit kok susah sekali ambil hak jht tidak aktif kes sulit,True,True,True,False,True
12,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,terbaik,baik,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,1 -> 0,0,Tidak relevan dengan UMUX-Lite,False,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,"baik, terbaik",,,,positive,0.4588,5.38,5,Bagus Cahyadi,2026-04-25 01:49:17,0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,terbaik,terbaik baik,True,False,False,False,True
13,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,Aplikasi cacat. Developer tolong buat biometrik fotonya dibenerin lagi. Bukannya mempermudah malah mempersulit pengguna. Masa 100% harus sesuai foto KTP. Biometrik rasis body shaming.,aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,0 -> 3,2,Ease of Use,False,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",24,,"guna, sesuai","buka, mudah, sulit",,positive,0.6597,5.98,1,Putri Leo,2026-04-25 01:17:34,0,Tidak relevan dengan pertanyaan manapun,0,0.183,0.49,0.327,high,True,aplikasi cacat. developer tolong buat biometrik fotonya dibenerin lagi. bukannya mempermudah malah mempersulit pengguna. masa 100% harus sesuai foto ktp. biometrik rasis body shaming.,aplikasi cacat. developer tolong buat biometrik fotonya dibenerin lagi. bukannya mempermudah malah mempersulit pengguna. masa 100% harus sesuai foto ktp. biometrik rasis body shaming. aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,False,True,True,False,True
15,4,P4 - Label 0 contains usefulness keyword,Label tidak relevan perlu dicek karena komentar mengandung indikasi usefulness atau manfaat aplikasi.,,,,,,sy ko ga biasa cek saldo jht...,sy ko tidak biasa cek saldo jht,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,0 -> 1,0,Tidak relevan dengan UMUX-Lite,True,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",7,,"jht, saldo",,,positive,0.1531,4.46,5,Joem Jumhana,2026-04-24 15:02:42,0,Tidak relevan dengan pertanyaan manapun,0,0.22,0.3,0.48,moderate,False,sy ko ga biasa cek saldo jht...,sy ko ga biasa cek saldo jht... sy ko tidak biasa cek saldo jht,False,True,False,False,True
16,1,P1 - Different suggestion and wrong prediction,Prioritas tertinggi: saran label berbeda dari label aktual dan prediksi model juga salah.,,,,,,apk tidak bisa dibuka,aplikasi tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,0 -> 2,2,Ease of Use,False,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,"buka, tidak bisa","aplikasi tidak bisa, tidak bisa buka, tidak bisa dibuka",negative,-0.2023,3.39,3,Hary Yanto,2026-04-24 14:39:27,0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True,apk tidak bisa dibuka,apk tidak bisa dibuka aplikasi tidak bisa buka,False,False,True,True,True
