comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,suggested_label,suggested_dimension,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
yoi,yoi,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,5.0,Puput Putriyana,2026-04-26 02:33:49,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,yoi,yoi yoi,False,False,False,False,False
proses mudah fitur mudah dipahami dan saya akan tetap terus berlangganan,proses mudah fitur mudah paham tetap terus langgan,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",11,,fitur,mudah,,positive,0.9042,6.71,5.0,Jaya Andy,2026-04-26 02:00:11,0.0,Relevan dengan P1 (mudah digunakan),1,0.118,0.108,0.774,high,True,proses mudah fitur mudah dipahami dan saya akan tetap terus berlangganan,proses mudah fitur mudah dipahami dan saya akan tetap terus berlangganan proses mudah fitur mudah paham tetap terus langgan,False,True,True,False,True
memuaskan,muas,1,0,2,Ease of Use,1,Usefulness,False,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,4.0,Renita Ita,2026-04-26 01:34:28,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,1.0,0.0,moderate,True,memuaskan,memuaskan muas,False,False,False,False,True
"tulung dibaca ya tulunggg....inj parah kenapa aplikasi JMO tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo JHT saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi JMO sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️",tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",59,baik,"jht, saldo","buka, tidak bisa","force close, tidak bisa buka, tidak bisa dibuka",negative,-0.4588,2.62,1.0,Situr Z,2026-04-25 08:56:18,1.0,Tidak relevan dengan pertanyaan manapun,0,0.205,0.57,0.224,low,True,"tulung dibaca ya tulunggg....inj parah kenapa aplikasi jmo tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo jht saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi jmo sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️","tulung dibaca ya tulunggg....inj parah kenapa aplikasi jmo tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo jht saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi jmo sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️ tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka",True,True,True,True,True
mudah dalam penggunaannya,mudah guna,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",3,,guna,mudah,,positive,0.7906,6.37,5.0,Eko Sinta,2026-04-25 08:14:34,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,True,mudah dalam penggunaannya,mudah dalam penggunaannya mudah guna,False,True,True,False,True
memudahkan peserta BPJS ketenagakerjaan untuk cek data dan dana,mudah bpjs ketenagakerjaan cek data dana,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",9,,"bpjs, data, ketenagakerjaan, peserta",mudah,,positive,0.802,6.41,5.0,Umi Sarofah,2026-04-25 07:46:31,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,True,memudahkan peserta bpjs ketenagakerjaan untuk cek data dan dana,memudahkan peserta bpjs ketenagakerjaan untuk cek data dan dana mudah bpjs ketenagakerjaan cek data dana,False,True,True,False,True
cepat mudah efisien lanjutkan,cepat mudah efisien lanjut,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",4,,,mudah,,positive,0.8934,6.68,5.0,Hosen Spaiderling,2026-04-25 07:10:26,0.0,Relevan dengan P1 dan P3,3,0.0,0.085,0.915,high,True,cepat mudah efisien lanjutkan,cepat mudah efisien lanjutkan cepat mudah efisien lanjut,False,False,True,False,True
"Saya tidak bisa tau No VA pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.",tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",16,,,"daftar, tidak bisa",,negative,-0.5859,2.24,1.0,Septiawan Zaid,2026-04-25 04:17:00,0.0,Tidak relevan dengan pertanyaan manapun,0,0.402,0.488,0.11,low,True,"saya tidak bisa tau no va pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.","saya tidak bisa tau no va pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar. tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar",False,False,True,False,True
aplikasinya tidak bisa di akses. semoga ada manfaatnya,aplikasi tidak bisa akses moga manfaat,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",8,,manfaat,"akses, tidak bisa",aplikasi tidak bisa,positive,0.4767,5.43,5.0,Januarius Tani,2026-04-25 02:33:24,0.0,Tidak relevan dengan pertanyaan manapun,0,0.21,0.286,0.505,high,False,aplikasinya tidak bisa di akses. semoga ada manfaatnya,aplikasinya tidak bisa di akses. semoga ada manfaatnya aplikasi tidak bisa akses moga manfaat,False,True,True,True,True
"saya mau cantumkan akun, tapi saat mau memasukkan nomor hp, aplikasi selalu keluar sendiri dan di ulang beberapa kali tetap sama. tolong bantuannya",mau cantum akun mau masuk nomor hp aplikasi selalu keluar sendiri ulang beberapa kali tetap sama bantu,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",23,,bantu,masuk,,positive,0.296,4.89,5.0,SARMILAH,2026-04-25 02:29:26,0.0,Relevan dengan P1 (mudah digunakan),1,0.174,0.596,0.229,moderate,True,"saya mau cantumkan akun, tapi saat mau memasukkan nomor hp, aplikasi selalu keluar sendiri dan di ulang beberapa kali tetap sama. tolong bantuannya","saya mau cantumkan akun, tapi saat mau memasukkan nomor hp, aplikasi selalu keluar sendiri dan di ulang beberapa kali tetap sama. tolong bantuannya mau cantum akun mau masuk nomor hp aplikasi selalu keluar sendiri ulang beberapa kali tetap sama bantu",False,True,True,False,True
