umux_label,umux_dimension,topic_id,top_keywords,topic_interpretation_initial
1,Usefulness,1,"bantu, bantu kerja, kerja, saldo, mudah, yg, yg bantu, kece, bpjs, bantu mudah","Layanan klaim, saldo, atau pencairan"
1,Usefulness,2,"manfaat, kerja, moga, moga manfaat, bantu manfaat, mudah, tua, manfaat kerja, manfaat semua, bintang",Manfaat aplikasi dan dukungan layanan
1,Usefulness,3,"muas, layan muas, muas layan, muas mudah, trimakasih, simple, yg muas, mudah, cepat muas, sesuai",Kemudahan atau kesulitan penggunaan
1,Usefulness,4,"puas, puas layan, puas bantu, bantu puas, layan puas, selalu, gampang, trimakasih, sngat, hasil",Manfaat aplikasi dan dukungan layanan
1,Usefulness,5,"layan, layan muas, cepat, layan cepat, puas layan, atas, atas layan, cepat layan, ramah, muas layan",Topik umum berdasarkan kata kunci dominan
2,Ease of Use,1,"mudah, paham, mudah paham, erti, mudah erti, proses, cepat mudah, mudah proses, klaim, saldo","Layanan klaim, saldo, atau pencairan"
2,Ease of Use,2,"bisa buka, buka, tidak bisa, bisa, tidak, hp, terus, henti, buka hp, buka sama",Topik umum berdasarkan kata kunci dominan
2,Ease of Use,3,"login, bisa login, tidak bisa, bisa, tidak, masuk, bisa masuk, login tidak, email, update","Masalah login, akses, atau verifikasi"
2,Ease of Use,4,"cepat, cepat mudah, layan, layan cepat, proses, proses cepat, mudah cepat, cair, mudah proses, aman","Layanan klaim, saldo, atau pencairan"
2,Ease of Use,5,"akses, mudah akses, akses mudah, ribet, gampang, tidak ribet, manfaat, bisa akses, akses tidak, simple","Masalah login, akses, atau verifikasi"
3,Usefulness + Ease of Use,1,"mudah, mudah cepat, akses, mudah akses, manfaat, saldo, manfaat mudah, cair, praktis, paham","Layanan klaim, saldo, atau pencairan"
3,Usefulness + Ease of Use,2,"cepat, mudah cepat, proses, akurat, cepat akurat, proses cepat, cepat proses, cepat bantu, layan, cepat mudah",Manfaat aplikasi dan dukungan layanan
3,Usefulness + Ease of Use,3,"bantu mudah, bantu, mudah, mudah paham, paham, mudah erti, erti, mudah urus, bisa bantu, cepat bantu",Manfaat aplikasi dan dukungan layanan
3,Usefulness + Ease of Use,4,"tidak, klaim, sulit, bisa, jht, mau, proses, klaim jht, tidak bisa, cair","Layanan klaim, saldo, atau pencairan"
3,Usefulness + Ease of Use,5,"mudah bantu, bantu, mudah, ramah, layan, cepat bantu, bantu cepat, bantu cek, bantu suka, bantu klaim","Layanan klaim, saldo, atau pencairan"
